Año,Zona,Lugar,Numero,median_inc,Población,distance (km),distance,CT_(€),OC_(€),TC
2019,España,Andalucía,1634.0,34.893150684931506,8472407.0,709.2506892624751,709.2506892624751,92.20258960412177,11.631050228310501,103.83363983243227
2020,España,Andalucía,778.0,34.893150684931506,8472407.0,709.2506892624751,709.2506892624751,92.20258960412177,11.631050228310501,103.83363983243227
2021,España,Andalucía,1342.0,34.893150684931506,8472407.0,709.2506892624751,709.2506892624751,92.20258960412177,11.631050228310501,103.83363983243227
2022,España,Andalucía,1555.0,34.893150684931506,8472407.0,709.2506892624751,709.2506892624751,92.20258960412177,11.631050228310501,103.83363983243227
2023,España,Andalucía,1407.0,34.893150684931506,8472407.0,709.2506892624751,709.2506892624751,92.20258960412177,11.631050228310501,103.83363983243227
2024,España,Andalucía,80.0,34.893150684931506,8472407.0,709.2506892624751,709.2506892624751,92.20258960412177,11.631050228310501,103.83363983243227
2019,España,Aragón,302.0,49.64657534246575,1326261.0,711.8233051402763,711.8233051402763,92.53702966823592,16.548858447488584,109.0858881157245
2020,España,Aragón,196.0,49.64657534246575,1326261.0,711.8233051402763,711.8233051402763,92.53702966823592,16.548858447488584,109.0858881157245
2021,España,Aragón,316.0,49.64657534246575,1326261.0,711.8233051402763,711.8233051402763,92.53702966823592,16.548858447488584,109.0858881157245
2022,España,Aragón,239.0,49.64657534246575,1326261.0,711.8233051402763,711.8233051402763,92.53702966823592,16.548858447488584,109.0858881157245
2023,España,Aragón,190.0,49.64657534246575,1326261.0,711.8233051402763,711.8233051402763,92.53702966823592,16.548858447488584,109.0858881157245
2019,España,Asturias,3293.0,46.03013698630137,1011792.0,258.3380007025078,258.3380007025078,33.58394009132602,15.34337899543379,48.92731908675981
2020,España,Asturias,2259.0,46.03013698630137,1011792.0,258.3380007025078,258.3380007025078,33.58394009132602,15.34337899543379,48.92731908675981
2021,España,Asturias,3050.0,46.03013698630137,1011792.0,258.3380007025078,258.3380007025078,33.58394009132602,15.34337899543379,48.92731908675981
2022,España,Asturias,2734.0,46.03013698630137,1011792.0,258.3380007025078,258.3380007025078,33.58394009132602,15.34337899543379,48.92731908675981
2023,España,Asturias,2736.0,46.03013698630137,1011792.0,258.3380007025078,258.3380007025078,33.58394009132602,15.34337899543379,48.92731908675981
2024,España,Asturias,184.0,46.03013698630137,1011792.0,258.3380007025078,258.3380007025078,33.58394009132602,15.34337899543379,48.92731908675981
2019,España,Illes Balears,168.0,43.19178082191781,1173008.0,1069.316917377114,1069.316917377114,139.0111992590248,14.397260273972602,153.4084595329974
2020,España,Illes Balears,136.0,43.19178082191781,1173008.0,1069.316917377114,1069.316917377114,139.0111992590248,14.397260273972602,153.4084595329974
2021,España,Illes Balears,90.0,43.19178082191781,1173008.0,1069.316917377114,1069.316917377114,139.0111992590248,14.397260273972602,153.4084595329974
