Año,Lugar,Zona,Numero,turistasINE,yhat_full,median_inc,Población,distance (km)
2021,Madrid,España,18000,7208,inf,19206.0,6751251.0,624.7148974691755
2023,Madrid,España,10801,7905,inf,19206.0,6751251.0,624.7148974691755
2023,Cataluña,España,5114,1104,inf,18828.0,7763362.0,1149.871852683606
2023,Andalucía,España,5964,1407,inf,12736.0,8472407.0,845.4011481629901
2023,Castilla y León,España,3568,3801,inf,16688.0,2383139.0,452.3145244875416
2023,Comunidade Valenciana,España,2435,653,1.0680489680179907e+284,15273.0,5058138.0,1010.4591449037804
2023,País Vasco,España,2513,1244,inf,21114.0,2213993.0,694.3049126141344
2023,Castilla - La Mancha,España,2855,662,8.654490426610056e+287,14054.0,2049562.0,757.8894632318738
2023,Asturias,España,2096,2736,inf,16801.0,1011792.0,343.06178331910445
2023,Extremadura,España,1863,232,1.551008877029636e+101,12096.0,1059501.0,543.9204643863698
2023,Aragón,España,1097,190,8.917560070598843e+82,18121.0,1326261.0,911.3157625244618
2023,Cantabria,España,678,241,1.2567955102985587e+105,16364.0,584507.0,544.8521463533334
2023,Illes Balears,España,438,112,1.189259022828201e+49,15765.0,1173008.0,1362.7565710977192
2023,Murcia,España,567,62,2.29378315946961e+27,13994.0,1518486.0,1026.7679997190598
2023,Navarra,España,583,128,1.0567887114362587e+56,20955.0,661537.0,795.3674944099478
2023,Canarias,España,827,366,2.4326232794719504e+159,13763.0,2172944.0,2064.485011176817
2023,La Rioja,España,358,84,8.223012714622913e+36,17420.0,319796.0,696.620220979163
2022,Madrid,España,11520,8167,inf,19206.0,6751251.0,624.7148974691755
2022,Cataluña,España,5376,1113,inf,18828.0,7763362.0,1149.871852683606
2022,Andalucía,España,5856,1555,inf,12736.0,8472407.0,845.4011481629901
2022,Castilla y León,España,4128,4258,inf,16688.0,2383139.0,452.3145244875416
2022,Comunidade Valenciana,España,2496,914,inf,15273.0,5058138.0,1010.4591449037804
2022,País Vasco,España,2592,1231,inf,21114.0,2213993.0,694.3049126141344
2022,Castilla - La Mancha,España,3456,640,2.414142490506832e+278,14054.0,2049562.0,757.8894632318738
2022,Asturias,España,2496,2734,inf,16801.0,1011792.0,343.06178331910445
2022,Extremadura,España,2688,250,1.0183919499749154e+109,12096.0,1059501.0,543.9204643863698
2022,Aragón,España,864,239,1.700887763567586e+104,18121.0,1326261.0,911.3157625244618
2022,Cantabria,España,960,321,6.963429336965459e+139,16364.0,584507.0,544.8521463533334
2022,Illes Balears,España,1056,97,3.637970947608805e+42,15765.0,1173008.0,1362.7565710977192
2022,Murcia,España,576,125,5.261441182666386e+54,13994.0,1518486.0,1026.7679997190598
2022,Navarra,España,672,207,2.1540324218248465e+90,20955.0,661537.0,795.3674944099478
2022,Canarias,España,576,520,1.851079501702514e+226,13763.0,2172944.0,2064.485011176817
2022,La Rioja,España,480,103,1.4676622301554424e+45,17420.0,319796.0,696.620220979163
2021,Cataluña,España,9000,992,inf,18828.0,7763362.0,1149.871852683606
2021,Andalucía,España,7800,1342,inf,12736.0,8472407.0,845.4011481629901
2021,Castilla y León,España,6720,4008,inf,16688.0,2383139.0,452.3145244875416
