Año,Zona,Lugar,Numero,median_inc,Población,distance (km)
2019,España,Andalucía,1229.0,12736.0,8472407.0,962.3562627414004
2020,España,Andalucía,1505.0,12736.0,8472407.0,962.3562627414004
2021,España,Andalucía,2250.0,12736.0,8472407.0,962.3562627414004
2019,España,Aragón,4385.0,18121.0,1326261.0,235.30992913205154
2020,España,Aragón,5714.0,18121.0,1326261.0,235.30992913205154
2021,España,Aragón,4664.0,18121.0,1326261.0,235.30992913205154
2019,España,Asturias,726.0,16801.0,1011792.0,777.2975253700009
2020,España,Asturias,2258.0,16801.0,1011792.0,777.2975253700009
2021,España,Asturias,636.0,16801.0,1011792.0,777.2975253700009
2019,España,Illes Balears,847.0,15765.0,1173008.0,495.6495095435783
2020,España,Illes Balears,2217.0,15765.0,1173008.0,495.6495095435783
2021,España,Illes Balears,1243.0,15765.0,1173008.0,495.6495095435783
2019,España,Canarias,63.0,13763.0,2172944.0,2689.2644741637996
2020,España,Canarias,465.0,13763.0,2172944.0,2689.2644741637996
2021,España,Canarias,102.0,13763.0,2172944.0,2689.2644741637996
2019,España,Cantabria,557.0,16364.0,584507.0,559.0092247845754
2020,España,Cantabria,1650.0,16364.0,584507.0,559.0092247845754
2021,España,Cantabria,528.0,16364.0,584507.0,559.0092247845754
2019,España,Castilla - La Mancha,626.0,14054.0,2049562.0,620.4587918704517
2020,España,Castilla - La Mancha,926.0,14054.0,2049562.0,620.4587918704517
2021,España,Castilla - La Mancha,890.0,14054.0,2049562.0,620.4587918704517
2019,España,Castilla y León,987.0,16688.0,2383139.0,646.119575657194
2020,España,Castilla y León,2207.0,16688.0,2383139.0,646.119575657194
2021,España,Castilla y León,1286.0,16688.0,2383139.0,646.119575657194
2019,España,Cataluña,117870.0,18828.0,7763362.0,134.4511412081171
2020,España,Cataluña,194459.0,18828.0,7763362.0,134.4511412081171
2021,España,Cataluña,202970.0,18828.0,7763362.0,134.4511412081171
2019,España,Comunidade Valenciana,11092.0,15273.0,5058138.0,494.7270140281754
2020,España,Comunidade Valenciana,17184.0,15273.0,5058138.0,494.7270140281754
2021,España,Comunidade Valenciana,14031.0,15273.0,5058138.0,494.7270140281754
2019,España,Extremadura,58.0,12096.0,1059501.0,931.0873613806505
2020,España,Extremadura,241.0,12096.0,1059501.0,931.0873613806505
2021,España,Extremadura,137.0,12096.0,1059501.0,931.0873613806505
2019,España,Galicia,221.0,15409.0,2695645.0,983.4928878904806
2020,España,Galicia,1297.0,15409.0,2695645.0,983.4928878904806
2021,España,Galicia,408.0,15409.0,2695645.0,983.4928878904806
2019,España,Madrid,17390.0,19206.0,6751251.0,601.7810007169045
2020,España,Madrid,42847.0,19206.0,6751251.0,601.7810007169045
2021,España,Madrid,21546.0,19206.0,6751251.0,601.7810007169045
2019,España,Murcia,1213.0,13994.0,1518486.0,719.3422904621845
2020,España,Murcia,836.0,13994.0,1518486.0,719.3422904621845
2021,España,Murcia,829.0,13994.0,1518486.0,719.3422904621845
2019,España,Navarra,987.0,20955.0,661537.0,286.01252757864205
2020,España,Navarra,1597.0,20955.0,661537.0,286.01252757864205
2021,España,Navarra,1215.0,20955.0,661537.0,286.01252757864205
2019,España,País Vasco,7790.0,21114.0,2213993.0,400.0764144340812
2020,España,País Vasco,15732.0,21114.0,2213993.0,400.0764144340812
2021,España,País Vasco,10363.0,21114.0,2213993.0,400.0764144340812
2019,España,La Rioja,119.0,17420.0,319796.0,385.36080804930623
2020,España,La Rioja,314.0,17420.0,319796.0,385.36080804930623
2021,España,La Rioja,97.0,17420.0,319796.0,385.36080804930623
