Año,Zona,Lugar,Numero,median_inc,Población,distance (km)
2019,España,Andalucía,193.0,12736.0,8472407.0,760.2232558673131
2020,España,Andalucía,134.0,12736.0,8472407.0,760.2232558673131
2021,España,Andalucía,289.0,12736.0,8472407.0,760.2232558673131
2022,España,Andalucía,917.5,12736.0,8472407.0,760.2232558673131
2023,España,Andalucía,872.5,12736.0,8472407.0,760.2232558673131
2024,España,Andalucía,198.5,12736.0,8472407.0,760.2232558673131
2019,España,Aragón,642.5,18121.0,1326261.0,746.9733186590042
2020,España,Aragón,816.0,18121.0,1326261.0,746.9733186590042
2021,España,Aragón,674.0,18121.0,1326261.0,746.9733186590042
2022,España,Aragón,1017.5,18121.0,1326261.0,746.9733186590042
2023,España,Aragón,848.5,18121.0,1326261.0,746.9733186590042
2024,España,Aragón,346.5,18121.0,1326261.0,746.9733186590042
2020,España,Asturias,230.0,16801.0,1011792.0,211.72252575121647
2022,España,Asturias,306.0,16801.0,1011792.0,211.72252575121647
2023,España,Asturias,182.5,16801.0,1011792.0,211.72252575121647
2024,España,Asturias,141.0,16801.0,1011792.0,211.72252575121647
2019,España,Illes Balears,97.5,15765.0,1173008.0,1203.907343545734
2020,España,Illes Balears,307.0,15765.0,1173008.0,1203.907343545734
2021,España,Illes Balears,220.5,15765.0,1173008.0,1203.907343545734
2022,España,Illes Balears,592.0,15765.0,1173008.0,1203.907343545734
2023,España,Illes Balears,886.0,15765.0,1173008.0,1203.907343545734
2024,España,Illes Balears,465.0,15765.0,1173008.0,1203.907343545734
2022,España,Canarias,119.5,13763.0,2172944.0,2125.068286277294
2023,España,Canarias,684.5,13763.0,2172944.0,2125.068286277294
2024,España,Canarias,135.5,13763.0,2172944.0,2125.068286277294
2019,España,Cantabria,41.0,16364.0,584507.0,389.42447757941966
2020,España,Cantabria,81.0,16364.0,584507.0,389.42447757941966
2022,España,Cantabria,72.0,16364.0,584507.0,389.42447757941966
2023,España,Cantabria,60.0,16364.0,584507.0,389.42447757941966
2024,España,Cantabria,46.0,16364.0,584507.0,389.42447757941966
2019,España,Castilla - La Mancha,104.0,14054.0,2049562.0,619.7680476648682
2020,España,Castilla - La Mancha,192.0,14054.0,2049562.0,619.7680476648682
2021,España,Castilla - La Mancha,123.5,14054.0,2049562.0,619.7680476648682
2022,España,Castilla - La Mancha,367.0,14054.0,2049562.0,619.7680476648682
2023,España,Castilla - La Mancha,435.0,14054.0,2049562.0,619.7680476648682
2024,España,Castilla - La Mancha,201.5,14054.0,2049562.0,619.7680476648682
