Año,Zona,Lugar,Numero,median_inc,Población,distance (km)
2019,España,Andalucía,1634.0,12736.0,8472407.0,582.0955771473822
2020,España,Andalucía,778.0,12736.0,8472407.0,582.0955771473822
2021,España,Andalucía,1342.0,12736.0,8472407.0,582.0955771473822
2022,España,Andalucía,1555.0,12736.0,8472407.0,582.0955771473822
2023,España,Andalucía,1407.0,12736.0,8472407.0,582.0955771473822
2024,España,Andalucía,80.0,12736.0,8472407.0,582.0955771473822
2019,España,Aragón,302.0,18121.0,1326261.0,556.3650518460106
2020,España,Aragón,196.0,18121.0,1326261.0,556.3650518460106
2021,España,Aragón,316.0,18121.0,1326261.0,556.3650518460106
2022,España,Aragón,239.0,18121.0,1326261.0,556.3650518460106
2023,España,Aragón,190.0,18121.0,1326261.0,556.3650518460106
2019,España,Asturias,3293.0,16801.0,1011792.0,155.44627739488226
2020,España,Asturias,2259.0,16801.0,1011792.0,155.44627739488226
2021,España,Asturias,3050.0,16801.0,1011792.0,155.44627739488226
2022,España,Asturias,2734.0,16801.0,1011792.0,155.44627739488226
2023,España,Asturias,2736.0,16801.0,1011792.0,155.44627739488226
2024,España,Asturias,184.0,16801.0,1011792.0,155.44627739488226
2019,España,Illes Balears,168.0,15765.0,1173008.0,909.7133458270064
2020,España,Illes Balears,136.0,15765.0,1173008.0,909.7133458270064
2021,España,Illes Balears,90.0,15765.0,1173008.0,909.7133458270064
2022,España,Illes Balears,97.0,15765.0,1173008.0,909.7133458270064
2023,España,Illes Balears,112.0,15765.0,1173008.0,909.7133458270064
2019,España,Canarias,432.0,13763.0,2172944.0,1735.69941150768
2020,España,Canarias,150.0,13763.0,2172944.0,1735.69941150768
2021,España,Canarias,297.0,13763.0,2172944.0,1735.69941150768
2022,España,Canarias,520.0,13763.0,2172944.0,1735.69941150768
2023,España,Canarias,366.0,13763.0,2172944.0,1735.69941150768
2024,España,Canarias,30.0,13763.0,2172944.0,1735.69941150768
2019,España,Cantabria,241.0,16364.0,584507.0,286.2885302379764
2020,España,Cantabria,222.0,16364.0,584507.0,286.2885302379764
2021,España,Cantabria,237.0,16364.0,584507.0,286.2885302379764
2022,España,Cantabria,321.0,16364.0,584507.0,286.2885302379764
2023,España,Cantabria,241.0,16364.0,584507.0,286.2885302379764
2019,España,Castilla - La Mancha,1021.0,14054.0,2049562.0,469.01282850055816
2020,España,Castilla - La Mancha,384.0,14054.0,2049562.0,469.01282850055816
2021,España,Castilla - La Mancha,634.0,14054.0,2049562.0,469.01282850055816
