Año,Zona,Lugar,Numero,median_inc,Población,distance (km)
2019,España,Andalucía,1634.0,12736.0,8472407.0,709.2506892624751
2020,España,Andalucía,778.0,12736.0,8472407.0,709.2506892624751
2021,España,Andalucía,1342.0,12736.0,8472407.0,709.2506892624751
2022,España,Andalucía,1555.0,12736.0,8472407.0,709.2506892624751
2023,España,Andalucía,1407.0,12736.0,8472407.0,709.2506892624751
2024,España,Andalucía,80.0,12736.0,8472407.0,709.2506892624751
2019,España,Aragón,302.0,18121.0,1326261.0,711.8233051402763
2020,España,Aragón,196.0,18121.0,1326261.0,711.8233051402763
2021,España,Aragón,316.0,18121.0,1326261.0,711.8233051402763
2022,España,Aragón,239.0,18121.0,1326261.0,711.8233051402763
2023,España,Aragón,190.0,18121.0,1326261.0,711.8233051402763
2019,España,Asturias,3293.0,16801.0,1011792.0,258.3380007025078
2020,España,Asturias,2259.0,16801.0,1011792.0,258.3380007025078
2021,España,Asturias,3050.0,16801.0,1011792.0,258.3380007025078
2022,España,Asturias,2734.0,16801.0,1011792.0,258.3380007025078
2023,España,Asturias,2736.0,16801.0,1011792.0,258.3380007025078
2024,España,Asturias,184.0,16801.0,1011792.0,258.3380007025078
2019,España,Illes Balears,168.0,15765.0,1173008.0,1069.3169173771141
2020,España,Illes Balears,136.0,15765.0,1173008.0,1069.3169173771141
2021,España,Illes Balears,90.0,15765.0,1173008.0,1069.3169173771141
2022,España,Illes Balears,97.0,15765.0,1173008.0,1069.3169173771141
2023,España,Illes Balears,112.0,15765.0,1173008.0,1069.3169173771141
2019,España,Canarias,432.0,13763.0,2172944.0,1729.2226176686395
2020,España,Canarias,150.0,13763.0,2172944.0,1729.2226176686395
2021,España,Canarias,297.0,13763.0,2172944.0,1729.2226176686395
2022,España,Canarias,520.0,13763.0,2172944.0,1729.2226176686395
2023,España,Canarias,366.0,13763.0,2172944.0,1729.2226176686395
2024,España,Canarias,30.0,13763.0,2172944.0,1729.2226176686395
2019,España,Cantabria,241.0,16364.0,584507.0,415.39473655658645
2020,España,Cantabria,222.0,16364.0,584507.0,415.39473655658645
2021,España,Cantabria,237.0,16364.0,584507.0,415.39473655658645
2022,España,Cantabria,321.0,16364.0,584507.0,415.39473655658645
2023,España,Cantabria,241.0,16364.0,584507.0,415.39473655658645
2019,España,Castilla - La Mancha,1021.0,14054.0,2049562.0,625.6442854546231
2020,España,Castilla - La Mancha,384.0,14054.0,2049562.0,625.6442854546231
2021,España,Castilla - La Mancha,634.0,14054.0,2049562.0,625.6442854546231
2022,España,Castilla - La Mancha,640.0,14054.0,2049562.0,625.6442854546231
2023,España,Castilla - La Mancha,662.0,14054.0,2049562.0,625.6442854546231
2019,España,Castilla y León,4503.0,16688.0,2383139.0,375.44092398566573
2020,España,Castilla y León,3269.0,16688.0,2383139.0,375.44092398566573
2021,España,Castilla y León,4008.0,16688.0,2383139.0,375.44092398566573
2022,España,Castilla y León,4258.0,16688.0,2383139.0,375.44092398566573
2023,España,Castilla y León,3801.0,16688.0,2383139.0,375.44092398566573
2024,España,Castilla y León,401.0,16688.0,2383139.0,375.44092398566573
2019,España,Cataluña,1114.0,18828.0,7763362.0,882.9708420303375
