Año,Zona,Lugar,Porcentaje,Numero,median_inc,Población,distance (km)
2021,España,Madrid,0.0,18000,19206.0,6751251.0,624.7148974691755
2023,España,Madrid,11.5,10801,19206.0,6751251.0,624.7148974691755
2023,España,Cataluña,5.45,5114,18828.0,7763362.0,1149.871852683606
2023,España,Andalucía,6.35,5964,12736.0,8472407.0,845.4011481629901
2023,España,Castilla y León,3.8,3568,16688.0,2383139.0,452.31452448754163
2023,España,Comunidade Valenciana,2.59,2435,15273.0,5058138.0,1010.4591449037805
2023,España,País Vasco,2.68,2513,21114.0,2213993.0,694.3049126141344
2023,España,Castilla - La Mancha,3.04,2855,14054.0,2049562.0,757.8894632318738
2023,España,Asturias,2.23,2096,16801.0,1011792.0,343.06178331910445
2023,España,Extremadura,1.98,1863,12096.0,1059501.0,543.9204643863698
2023,España,Aragón,1.17,1097,18121.0,1326261.0,911.3157625244618
2023,España,Cantabria,0.72,678,16364.0,584507.0,544.8521463533334
2023,España,Illes Balears,0.47,438,15765.0,1173008.0,1362.7565710977192
2023,España,Murcia,0.6,567,13994.0,1518486.0,1026.7679997190598
2023,España,Navarra,0.62,583,20955.0,661537.0,795.3674944099478
2023,España,Canarias,0.88,827,13763.0,2172944.0,2064.485011176817
2023,España,La Rioja,0.38,358,17420.0,319796.0,696.620220979163
2023,España,Ceuta,0.24,224,12332.0,83500.0,998.9900590050667
2023,España,Melilla,0.01,13,15604.0,86261.0,1196.4509255484918
2022,España,Madrid,,11520,19206.0,6751251.0,624.7148974691755
2022,España,Cataluña,,5376,18828.0,7763362.0,1149.871852683606
2022,España,Andalucía,,5856,12736.0,8472407.0,845.4011481629901
2022,España,Castilla y León,,4128,16688.0,2383139.0,452.31452448754163
2022,España,Comunidade Valenciana,,2496,15273.0,5058138.0,1010.4591449037805
2022,España,País Vasco,,2592,21114.0,2213993.0,694.3049126141344
2022,España,Castilla - La Mancha,,3456,14054.0,2049562.0,757.8894632318738
2022,España,Asturias,,2496,16801.0,1011792.0,343.06178331910445
2022,España,Extremadura,,2688,12096.0,1059501.0,543.9204643863698
2022,España,Aragón,,864,18121.0,1326261.0,911.3157625244618
2022,España,Cantabria,,960,16364.0,584507.0,544.8521463533334
2022,España,Illes Balears,,1056,15765.0,1173008.0,1362.7565710977192
2022,España,Murcia,,576,13994.0,1518486.0,1026.7679997190598
2022,España,Navarra,,672,20955.0,661537.0,795.3674944099478
2022,España,Canarias,,576,13763.0,2172944.0,2064.485011176817
2022,España,La Rioja,,480,17420.0,319796.0,696.620220979163
2022,España,Ceuta,,192,12332.0,83500.0,998.9900590050667
2022,España,Melilla,,0,15604.0,86261.0,1196.4509255484918
2021,España,Cataluña,,9000,18828.0,7763362.0,1149.871852683606
2021,España,Andalucía,,7800,12736.0,8472407.0,845.4011481629901
2021,España,Castilla y León,,6720,16688.0,2383139.0,452.31452448754163
2021,España,Comunidade Valenciana,,4920,15273.0,5058138.0,1010.4591449037805
2021,España,País Vasco,,4560,21114.0,2213993.0,694.3049126141344
2021,España,Castilla - La Mancha,,4080,14054.0,2049562.0,757.8894632318738
2021,España,Asturias,,3480,16801.0,1011792.0,343.06178331910445
2021,España,Extremadura,,2880,12096.0,1059501.0,543.9204643863698
2021,España,Aragón,,2040,18121.0,1326261.0,911.3157625244618
2021,España,Cantabria,,1800,16364.0,584507.0,544.8521463533334
2021,España,Illes Balears,,1680,15765.0,1173008.0,1362.7565710977192
2021,España,Murcia,,1200,13994.0,1518486.0,1026.7679997190598
2021,España,Navarra,,1080,20955.0,661537.0,795.3674944099478
2021,España,Canarias,,840,13763.0,2172944.0,2064.485011176817
2021,España,La Rioja,,480,17420.0,319796.0,696.620220979163
2021,España,Ceuta,,120,12332.0,83500.0,998.9900590050667
2021,España,Melilla,,0,15604.0,86261.0,1196.4509255484918
2021,España,A Coruña,0.0,3600,16081,1120134.0,1114.216097859378
2021,España,Lugo,0.0,720,14738,326013.0,1197.2651984593917
2021,España,Madrid,0.0,18000,16146,,1591.4099407179567
2021,España,Ourense,0.0,840,14465,305223.0,1217.6600481891146
2022,España,A Coruña,0.0,5664,16081,1120134.0,1114.216097859378
2022,España,Lugo,0.0,960,14738,326013.0,1197.2651984593917
2022,España,Ourense,0.0,1632,14465,305223.0,1217.6600481891146
2023,España,A Coruña,5.63,5283,16081,1120134.0,1114.216097859378
2023,España,Lugo,0.91,859,14738,326013.0,1197.2651984593917
2023,España,Ourense,1.41,1327,14465,305223.0,1217.6600481891146
2023,Europa,Portugal,3.11,2917,9547.053649956024,10269417.0,395.70714800238454
2023,Mundo,Estados Unidos,0.26,248,21395.778364116093,328239523.0,12448.690318344
2023,Europa,Reino Unido,0.59,558,14869.832893579594,66834405.0,2129.2464514902335
2023,Europa,Francia,1.13,1059,16095.866314863677,67059887.0,884.8318098979938
2023,Europa,Italia,0.69,651,13428.320140721196,60297396.0,2316.118180027958
2023,Europa,Alemania,0.64,601,17874.23043095866,83132799.0,2582.417369734734
2023,Europa,Suiza,0.3,284,20657.87159190853,8574832.0,2018.8224442087105
2023,Mundo,Brasil,0.14,134,3720.3166226912927,211049527.0,8123.603307826081
2023,Europa,Bélgica,0.14,136,17027.26473175022,11484055.0,2014.5039622099239
2023,Europa,Países Bajos,0.19,183,18891.820580474934,17332850.0,2292.117954401639
2023,Mundo,Argentina,0.1,92,5919.964819700967,44938712.0,11482.593099874293
2023,Europa,Irlanda,0.1,95,15797.713280562884,4941444.0,1813.4782722853433
2023,Europa,Ucrania,0.0651911382800226,61,3899.736147757256,44385155.0,4597.325019090545
2023,Europa,Polonia,0.0641224310951042,60,9945.47053649956,37970874.0,3531.3045515983154
2023,Europa,Austria,0.0480918233213281,45,18972.73526824978,8877067.0,2683.896807140002
2023,Europa,Andorra,0.0480918233213281,37,,77142.0,1152.947715586787
2023,Mundo,Colombia,0.0374047514721441,35,2766.9305189094107,50339443.0,8603.089776559495
2023,Europa,República Checa,0.0438169945816545,41,11303.430079155673,10669709.0,2936.5981229184717
2023,Mundo,Canadá,0.0320612155475521,30,18073.878627968337,37589262.0,11126.743003047019
2023,Mundo,Australia,0.0277863868078785,26,17029.90325417766,25364307.0,17961.003244797233
2022,Europa,Portugal,,3360,9547.053649956024,10269417.0,395.70714800238454
2022,Mundo,Estados Unidos,,288,21395.778364116093,328239523.0,12448.690318344
2022,Europa,Reino Unido,,288,14869.832893579594,66834405.0,2129.2464514902335
2022,Europa,Francia,,960,16095.866314863677,67059887.0,884.8318098979938
2022,Europa,Italia,,384,13428.320140721196,60297396.0,2316.118180027958
2022,Europa,Alemania,,480,17874.23043095866,83132799.0,2582.417369734734
2022,Europa,Suiza,,192,20657.87159190853,8574832.0,2018.8224442087105
2022,Mundo,Brasil,,192,3720.3166226912927,211049527.0,8123.603307826081
2022,Europa,Bélgica,,192,17027.26473175022,11484055.0,2014.5039622099239
2022,Europa,Países Bajos,,192,18891.820580474934,17332850.0,2292.117954401639
2022,Mundo,Argentina,,192,5919.964819700967,44938712.0,11482.593099874293
2022,Europa,Polonia,,96,9945.47053649956,37970874.0,3531.3045515983154
2021,Europa,Portugal,,3360,9547.053649956024,10269417.0,395.70714800238454
2021,Mundo,Estados Unidos,,2520,21395.778364116093,328239523.0,12448.690318344
2021,Europa,Reino Unido,,1320,14869.832893579594,66834405.0,2129.2464514902335
