,id,City
"Inca, Islas Baleares, Spain",230264654/inca-islas-baleares-spain,Inca
En Algún Lugar De Este Maravilloso Mundo,1716800335238830/en-algun-lugar-de-este-maravilloso-mundo,elBaixGuinardo
"San Fernando de Henares, Madrid",221532284/san-fernando-de-henares-madrid,SanFernandodeHenares
Monte Dorado,1031513790/monte-dorado,PeinadaGrande
España // Spain,896987551/espana-spain,LaLínea
BIOPARC Valencia,183960/bioparc-valencia,Mislata
"Lorca, Spain",257308888/lorca-spain,Lorca
"Cartagena, Region of Murcia, Spain",101473771390374/cartagena-region-of-murcia-spain,Cartagena
"Utrera, Andalucia, Spain",235589816/utrera-andalucia-spain,Utrera
Westfield Parquesur,4671131/westfield-parquesur,ElBercial
Pino Montano Barrio,244675541/pino-montano-barrio,CaseríoSanLázaro
Aranda de Duero,213906682/aranda-de-duero,ArandadeDuero
Molina de Segura,223633188/molina-de-segura,MolinadeSegura
Cabo Roig,1033927667/cabo-roig,ResidenciaLosAltos
Puerto Marina Benalmadena,964110/puerto-marina-benalmadena,LaCarihuela
Bilbao Exhibition Centre (BEC),217953885/bilbao-exhibition-centre-bec,SanVicentedeBarakaldo
El Vendrell,4872392/el-vendrell,ElVendrell
Estadio Santiago Bernabéu,3000844/estadio-santiago-bernabeu,ChamartíndelaRosa
Universidad Politécnica de Madrid,275732732/universidad-politecnica-de-madrid,PalomerasSureste
Benicarló,234654660/benicarlo,Benicarló
Boadilla del Monte,218233984/boadilla-del-monte,BoadilladelMonte
Salt,270968570/salt,Salt
"Puente De Vallecas, Madrid, Spain",218714528/puente-de-vallecas-madrid-spain,PuentedeVallecas
Siam Park,3972268/siam-park,SanEugenioAlto
"Uviéu, Asturies",1034671677/uvieu-asturies,SanJuliándelosPrados
Amposta,228660662/amposta,Amposta
"Villareal, Valenciana, Spain",258530541/villareal-valenciana-spain,Villareal
Port d'Alcúdia,229298077/port-dalcudia,PortdAlcúdia
Vilafranca del Penedès,216978320/vilafranca-del-penedes,VilafrancadelPenedès
VALDEPEÑAS,258034427/valdepenas,Valdepeñas
STROIKA,271326461/stroika,ElGuix
