Año,Isla,Lugar,Porcentaje,Porcentaje corregido,Numero,Income,Población,distance (km)
2023,Ons,Pontevedra,39.21,64.50074025333114,36815.0,14779,944275.0,32.70576005493941
2023,Ons,A Coruña,5.63,9.261391676262544,5283.0,16081,1120134.0,104.80059337323327
2023,Ons,Lugo,0.91,1.4969567363053131,859.0,14738,326013.0,136.946829287419
2023,Ons,Ourense,1.41,2.319460437571969,1327.0,14465,305223.0,91.63399907410573
2023,Cíes,Pontevedra,30.84,44.59224985540775,66213.0,14779,944275.0,32.70576005493941
2023,Cíes,A Coruña,4.43,6.405436668594564,9516.0,16081,1120134.0,104.80059337323327
2023,Cíes,Lugo,0.62,0.8964719491035281,1337.0,14738,326013.0,136.946829287419
2023,Cíes,Ourense,1.02,1.4748409485251592,2192.0,14465,305223.0,91.63399907410573
2023,Ons,Madrid,11.5,18.91758512913308,10801.0,20471,6751251.0,458.24655127964553
2023,Ons,Cataluña,5.45,8.965290343806547,5114.0,18428,7763362.0,848.1731745706917
2023,Ons,Andalucía,6.35,10.445797006086528,5964.0,12890,8472407.0,633.1878373094296
2023,Ons,Castilla y León,3.8,6.251028129626583,3568.0,16076,2383139.0,328.4794868076032
2023,Ons,Comunidade Valenciana,2.59,4.260569172561277,2435.0,14546,5058138.0,754.2128173308356
2023,Ons,País Vasco,2.68,4.408619838789274,2513.0,19653,2213993.0,507.9113589416531
2023,Ons,Castilla - La Mancha,3.04,5.000822503701267,2855.0,13554,2049562.0,561.3910801096288
2023,Ons,Asturias,2.23,3.6683665076492846,2096.0,16882,1011792.0,252.9670487965184
2023,Ons,Extremadura,1.98,3.257114657015957,1863.0,12572,1059501.0,398.3351726382515
2023,Ons,Aragón,1.17,1.9246586609639744,1097.0,16950,1326261.0,671.5040598479866
2023,Ons,Cantabria,0.72,1.1844053298239845,678.0,16167,584507.0,398.5988325869232
2023,Ons,Illes Balears,0.47,0.7731534791906564,438.0,16698,1173008.0,1020.4577074160702
2023,Ons,Murcia,0.6,0.9870044415199868,567.0,13095,1518486.0,771.6475129294023
2023,Ons,Navarra,0.62,1.019904589570653,583.0,18245,661537.0,582.7623430440442
2023,Ons,Canarias,0.88,1.447606514229314,827.0,13598,2172944.0,1677.3124846077105
2023,Ons,La Rioja,0.38,0.6251028129626583,358.0,16015,319796.0,510.5960107105788
2023,Ons,Ceuta,0.24,0.3948017766079947,224.0,14499,83500.0,758.7003707424668
2023,Ons,Melilla,0.01,0.0164500740253331,13.0,13879,86261.0,915.3962481562528
2023,Cíes,Madrid,12.89,18.63794100636206,27672.0,20471,6751251.0,458.24655127964553
2023,Cíes,Cataluña,6.94,10.0347021399653,14894.0,18428,7763362.0,848.1731745706917
