Año,Zona,Lugar,Numero,median_inc,Población,distance (km),distance,CT_(€),OC_(€),TC
2020,España,Andalucía,87.0,34.893150684931506,8472407.0,760.2232558673107,760.2232558673107,98.8290232627504,11.631050228310501,110.4600734910609
2022,España,Castilla - La Mancha,61.0,38.50410958904109,2049562.0,619.7680476648685,619.7680476648685,80.5698461964329,12.83470319634703,93.40454939277994
2019,España,Castilla y León,295.0,45.72054794520548,2383139.0,289.8066724268781,289.8066724268781,37.674867415494155,15.240182648401827,52.91505006389598
2020,España,Castilla y León,261.0,45.72054794520548,2383139.0,289.8066724268781,289.8066724268781,37.674867415494155,15.240182648401827,52.91505006389598
2022,España,Castilla y León,88.0,45.72054794520548,2383139.0,289.8066724268781,289.8066724268781,37.674867415494155,15.240182648401827,52.91505006389598
2019,España,Cataluña,279.0,51.583561643835615,7763362.0,984.8134316271122,984.8134316271122,128.0257461115246,17.194520547945203,145.22026665946981
2020,España,Cataluña,311.0,51.583561643835615,7763362.0,984.8134316271122,984.8134316271122,128.0257461115246,17.194520547945203,145.22026665946981
2021,España,Cataluña,196.0,51.583561643835615,7763362.0,984.8134316271122,984.8134316271122,128.0257461115246,17.194520547945203,145.22026665946981
2022,España,Cataluña,196.0,51.583561643835615,7763362.0,984.8134316271122,984.8134316271122,128.0257461115246,17.194520547945203,145.22026665946981
2023,España,Cataluña,197.0,51.583561643835615,7763362.0,984.8134316271122,984.8134316271122,128.0257461115246,17.194520547945203,145.22026665946981
2019,España,Comunidade Valenciana,30.0,41.843835616438355,5058138.0,860.4477076672692,860.4477076672692,111.85820199674501,13.947945205479451,125.80614720222447
2019,España,Galicia,1673.0,42.21643835616438,2695645.0,100.85216305470584,100.85216305470584,13.11078119711176,14.07214611872146,27.18292731583322
2020,España,Galicia,2556.0,42.21643835616438,2695645.0,100.85216305470584,100.85216305470584,13.11078119711176,14.07214611872146,27.18292731583322
2021,España,Galicia,2898.0,42.21643835616438,2695645.0,100.85216305470584,100.85216305470584,13.11078119711176,14.07214611872146,27.18292731583322
2022,España,Galicia,2693.0,42.21643835616438,2695645.0,100.85216305470584,100.85216305470584,13.11078119711176,14.07214611872146,27.18292731583322
2023,España,Galicia,1940.0,42.21643835616438,2695645.0,100.85216305470584,100.85216305470584,13.11078119711176,14.07214611872146,27.18292731583322
2024,España,Galicia,855.0,42.21643835616438,2695645.0,100.85216305470584,100.85216305470584,13.11078119711176,14.07214611872146,27.18292731583322
2019,España,Madrid,455.0,52.61917808219178,6751251.0,477.5041543325445,477.5041543325445,62.07554006323078,17.539726027397258,79.61526609062804
2020,España,Madrid,409.0,52.61917808219178,6751251.0,477.5041543325445,477.5041543325445,62.07554006323078,17.539726027397258,79.61526609062804
2021,España,Madrid,267.0,52.61917808219178,6751251.0,477.5041543325445,477.5041543325445,62.07554006323078,17.539726027397258,79.61526609062804
2022,España,Madrid,363.0,52.61917808219178,6751251.0,477.5041543325445,477.5041543325445,62.07554006323078,17.539726027397258,79.61526609062804
2023,España,Madrid,343.0,52.61917808219178,6751251.0,477.5041543325445,477.5041543325445,62.07554006323078,17.539726027397258,79.61526609062804
2024,España,Madrid,103.0,52.61917808219178,6751251.0,477.5041543325445,477.5041543325445,62.07554006323078,17.539726027397258,79.61526609062804
2019,España,País Vasco,33.0,57.846575342465755,2213993.0,533.514110657156,533.514110657156,69.35683438543029,19.28219178082192,88.63902616625221
2020,España,País Vasco,38.0,57.846575342465755,2213993.0,533.514110657156,533.514110657156,69.35683438543029,19.28219178082192,88.63902616625221
2019,Europa,Francia,60.0,44.098263876338834,67059887.0,733.0657103226346,733.0657103226346,146.61314206452693,29.39884258422589,176.01198464875282
2020,Europa,Francia,30.0,44.098263876338834,67059887.0,733.0657103226346,733.0657103226346,146.61314206452693,29.39884258422589,176.01198464875282
2021,Europa,Francia,131.0,44.098263876338834,67059887.0,733.0657103226346,733.0657103226346,146.61314206452693,29.39884258422589,176.01198464875282
2022,Europa,Francia,90.0,44.098263876338834,67059887.0,733.0657103226346,733.0657103226346,146.61314206452693,29.39884258422589,176.01198464875282
2023,Europa,Francia,48.0,44.098263876338834,67059887.0,733.0657103226346,733.0657103226346,146.61314206452693,29.39884258422589,176.01198464875282
2020,Europa,Portugal,53.0,26.156311369742532,10269417.0,409.3058070431837,409.3058070431837,106.41950983122776,8.718770456580843,115.1382802878086
2023,Europa,Portugal,31.0,26.156311369742532,10269417.0,409.3058070431837,409.3058070431837,106.41950983122776,8.718770456580843,115.1382802878086
2019,Europa,Total,330.0,,,,,0.0,,
2020,Europa,Total,305.0,,,,,0.0,,
2021,Europa,Total,454.0,,,,,0.0,,
2022,Europa,Total,686.0,,,,,0.0,,
2023,Europa,Total,825.0,,,,,0.0,,
2019,Europa,Total Europa,319.0,,,,,0.0,,
2020,Europa,Total Europa,224.0,,,,,0.0,,
2021,Europa,Total Europa,435.0,,,,,0.0,,
2022,Europa,Total Europa,654.0,,,,,0.0,,
2023,Europa,Total Europa,772.0,,,,,0.0,,
2019,Europa,Total Unión Europea,293.0,,,,,0.0,,
2020,Europa,Total Unión Europea,184.0,,,,,0.0,,
2021,Europa,Total Unión Europea,423.0,,,,,0.0,,
2022,Europa,Total Unión Europea,586.0,,,,,0.0,,
2023,Europa,Total Unión Europea,684.0,,,,,0.0,,
